Protein;Np;Young WT 1;Young WT 2;Old WT 1;Old WT 2;Ht pro 1;Ht pro 2;Hm pro 1;Hm pro 2;Mean z Young WT;Mean z Old WT;Mean z Ht pro;Mean z Hm pro;∆ mean z Old WT;∆ mean z Ht pro;∆ mean z Hm pro;P value Old WT;P value Ht pro;P value Hm pro;Change Old WT;Change Ht pro;Change Hm pro;Artifact
>tr|Q4VA32|Q4VA32_MOUSE Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1;3;1.384705767;-1.366795335;3.880001264;3.709450538;2.299406305;2.575739597;6.716327802;0.115710601;0.00895521600000004;3.794725901;2.437572951;3.4160192015;3.785770685;2.428617735;3.4070639855;0.0919842431774368;0.251555486783021;0.122647785260908;1;1;1;FALSE
>sp|Q9CQA8|CEP19_MOUSE Centrosomal protein of 19 kDa OS=Mus musculus GN=Cep19 PE=2 SV=1;1;-0.378124775;0.44268615;3.82536796;3.752767952;1.373243397;1.904149447;1.988450041;1.87796133;0.0322806875;3.789067956;1.638696422;1.9332056855;3.7567872685;1.6064157345;1.900924998;0.000195487779060733;0.0200507469385114;0.00932525361842528;1;1;1;FALSE
>sp|P15105|GLNA_MOUSE Glutamine synthetase OS=Mus musculus GN=Glul PE=1 SV=6;23.5;-0.235232526;0.240322416;4.458708279;2.602580722;1.456289749;1.868901178;2.815376804;1.44417449;0.00254494500000001;3.5306445005;1.6625954635;2.129775647;3.5280995555;1.6600505185;2.127230702;0.00271736079362416;0.0724055132082532;0.0300655314031723;1;1;1;FALSE
>tr|Q545K5|Q545K5_MOUSE MCG116386, isoform CRA_a OS=Mus musculus GN=Rbm3 PE=1 SV=1;3;-0.10543503;0.196838616;2.926640607;4.012396893;1.869504879;1.843211668;5.857902437;4.132849146;0.045701793;3.46951875;1.8563582735;4.9953757915;3.423816957;1.8106564805;4.9496739985;0.00194484031315463;0.0394636079592318;0.000212581335999491;1;1;1;FALSE
>sp|P08249|MDHM_MOUSE Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3;27;0.859810421;-0.891728756;3.293099276;2.814970558;2.099705377;1.872365329;1.531523829;1.711931704;-0.0159591675;3.054034917;1.986035353;1.6217277665;3.0699940845;2.0019945205;1.637686934;0.00253180897029597;0.0206694740026504;0.0454573347963175;1;1;1;FALSE
>sp|Q9CXT6|KDM8_MOUSE Lysine-specific demethylase 8 OS=Mus musculus GN=Kdm8 PE=2 SV=1;1;3.316033608;-4.502955673;1.20287866;3.673150783;6.179871257;6.478049077;-1.261445137;5.498039991;-0.5934610325;2.4380147215;6.328960167;2.118297427;3.031475754;6.9224211995;2.7117584595;0.321212464352944;0.044387481255504;0.37155254430155;1;1;1;FALSE
>tr|Q542P2|Q542P2_MOUSE Glycoprotein m6a, isoform CRA_b OS=Mus musculus GN=Gpm6a PE=1 SV=1;7;2.140932018;-2.280540057;2.338366485;3.356563994;1.30981703;2.379963845;1.928490485;2.347972174;-0.0698040195;2.8474652395;1.8448904375;2.1382313295;2.917269259;1.914694457;2.208035349;0.0622784530900618;0.189977637158755;0.137928082020189;1;1;1;FALSE
>sp|Q60668|HNRPD_MOUSE Heterogeneous nuclear ribonucleoprotein D0 OS=Mus musculus GN=Hnrnpd PE=1 SV=2;10;1.911254981;-2.400324821;2.253344519;3.084287165;3.576139411;2.797343592;3.064047102;3.041731491;-0.24453492;2.668815842;3.1867415015;3.0528892965;2.913350762;3.4312764215;3.2974242165;0.0543487389756872;0.029698444297618;0.0346822126447011;1;1;1;FALSE
>sp|Q9DCB1|HMGN3_MOUSE High mobility group nucleosome-binding domain-containing protein 3 OS=Mus musculus GN=Hmgn3 PE=1 SV=1;1;2.062462229;-2.341970562;2.133894869;3.405309507;3.360232133;0.863128687;1.997107563;2.011073717;-0.1397541665;2.769602188;2.11168041;2.00409064;2.9093563545;2.2514345765;2.1438448065;0.0849525011413784;0.165064658242374;0.183526940248308;1;1;1;FALSE
>tr|Q58EV5|Q58EV5_MOUSE High mobility group box 1 OS=Mus musculus GN=Hmgb1 PE=1 SV=1;15;2.607002568;-2.939122341;2.12516019;2.985402126;3.410960078;0.981458425;0.950010842;1.933315075;-0.1660598865;2.555281158;2.1962092515;1.4416629585;2.7213410445;2.362269138;1.607722845;0.152782988120316;0.206677616813861;0.375523848183711;1;1;1;FALSE
>sp|P10853|H2B1F_MOUSE Histone H2B type 1-F/J/L OS=Mus musculus GN=Hist1h2bf PE=1 SV=2;12;1.243881095;-1.378109341;2.818264041;2.395303127;3.302008212;0.569102807;1.414361691;2.403438338;-0.067114123;2.606783584;1.9355555095;1.9089000145;2.673897707;2.0026696325;1.9760141375;0.0508019259179433;0.121783975860246;0.126036785063308;1;1;1;FALSE
>sp|P16858|G3P_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2;31.5;0.495061155;-0.502668932;2.637380607;2.665347622;4.600436155;2.17354909;2.470354041;2.217442172;-0.00380388849999999;2.6513641145;3.3869926225;2.3438981065;2.655168003;3.390796511;2.347701995;0.0154986958920837;0.00473936285975913;0.0262111257602772;1;1;1;FALSE
>sp|Q60766|IRGM1_MOUSE Immunity-related GTPase family M protein 1 OS=Mus musculus GN=Irgm1 PE=1 SV=1;1;0.276028679;-0.23763115;3.569529427;1.449525329;4.461747112;4.626945257;6.883636154;6.2941168;0.0191987645;2.509527378;4.5443461845;6.588876477;2.4903286135;4.52514742;6.5696777125;0.0132647860444949;0.000526177184770096;4.88285739309794e-05;1;1;1;FALSE
>sp|A0AUP1|CC112_MOUSE Coiled-coil domain-containing protein 112 OS=Mus musculus GN=Ccdc112 PE=2 SV=2;1;0.729873217;-0.685944609;1.848806389;2.99601964;1.497872196;2.300597196;1.092985864;2.562616325;0.021964304;2.4224130145;1.899234696;1.8278010945;2.4004487105;1.877270392;1.8058367905;0.020019046790846;0.0518862176293884;0.0592097439857678;1;1;1;FALSE
>sp|P28652|KCC2B_MOUSE Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Mus musculus GN=Camk2b PE=1 SV=2;22;0.793794702;-1.225652453;1.723747081;2.575900354;1.90391792;2.018777204;1.464664153;1.524697299;-0.2159288755;2.1498237175;1.961347562;1.494680726;2.365752593;2.1772764375;1.7106096015;0.0153510557844848;0.0220130465091583;0.0551539027874748;1;1;1;FALSE
>sp|Q9WV02|RBMX_MOUSE RNA-binding motif protein, X chromosome OS=Mus musculus GN=Rbmx PE=1 SV=1;12;1.195131535;-1.161818383;1.870841009;2.867981483;1.725470892;1.644950298;1.641235416;2.689702268;0.016656576;2.369411246;1.685210595;2.165468842;2.35275467;1.668554019;2.148812266;0.0297340292322309;0.0955990499756061;0.0420156082229123;1;1;1;FALSE
>sp|P55264|ADK_MOUSE Adenosine kinase OS=Mus musculus GN=Adk PE=1 SV=2;14;-0.451547427;0.49815379;3.075406418;1.493326047;2.378986066;1.45800748;1.886454376;2.638501635;0.0233031815;2.2843662325;1.918496773;2.2624780055;2.261063051;1.8951935915;2.239174824;0.0187239896044071;0.0382045108609104;0.0195265538447185;1;1;1;FALSE
>tr|Q3UGE6|Q3UGE6_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Zc3h7b PE=2 SV=1;1;-0.512825909;0.543396017;1.0968732;3.12696356;0.33159925;5.111567451;8.130215039;4.417760722;0.015285054;2.11191838;2.7215833505;6.2739878805;2.096633326;2.7062982965;6.2587028265;0.274432729027913;0.169485706594778;0.00918774834432812;1;1;1;FALSE
>sp|Q9QZ28|SIX6_MOUSE Homeobox protein SIX6 OS=Mus musculus GN=Six6 PE=1 SV=2;1;-4.08266291;3.01695934;0.4773996;2.64047755;1.916253928;5.208470482;0.578582781;5.718408246;-0.532851785;1.558938575;3.562362205;3.1484955135;2.09179036;4.09521399;3.6813472985;0.443523724042683;0.155391415101088;0.195612420586736;1;1;1;FALSE
>tr|Q05BD8|Q05BD8_MOUSE Zranb2 protein OS=Mus musculus GN=Zranb2 PE=2 SV=1;1;1.816127699;-2.006354712;1.307339263;2.462932048;1.380917184;2.666188816;2.355699112;2.350847174;-0.0951135064999999;1.8851356555;2.023553;2.353273143;1.980249162;2.1186665065;2.4483866495;0.142951772836984;0.120789002332639;0.0804763897788495;1;1;1;FALSE
>sp|Q9R0P5|DEST_MOUSE Destrin OS=Mus musculus GN=Dstn PE=1 SV=3;15;2.300232747;-2.548102931;1.189337592;2.429362463;2.510486497;2.087155998;1.308103146;2.306926261;-0.123935092;1.8093500275;2.2988212475;1.8075147035;1.9332851195;2.4227563395;1.9314497955;0.217967932826257;0.133405139950794;0.218359773457245;1;1;1;FALSE
>sp|Q61545|EWS_MOUSE RNA-binding protein EWS OS=Mus musculus GN=Ewsr1 PE=1 SV=2;4;1.614344672;-2.024987607;1.012882064;2.381747349;1.965361711;1.495719699;1.035610895;2.867879129;-0.2053214675;1.6973147065;1.730540705;1.951745012;1.902636174;1.9358621725;2.1570664795;0.166352554223336;0.160017049042327;0.123223710544263;1;1;1;FALSE
>tr|Q4KML7|Q4KML7_MOUSE Ezrin OS=Mus musculus GN=Ezr PE=1 SV=1;26;1.74925922;-1.937810032;1.568581224;1.757256933;1.032391115;2.266822531;1.689205376;2.340032894;-0.0942754060000001;1.6629190785;1.649606823;2.014619135;1.7571944845;1.743882229;2.108894541;0.167363637166088;0.170190736471738;0.106751661886371;1;1;1;FALSE
>sp|Q9D051|ODPB_MOUSE Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus GN=Pdhb PE=1 SV=1;15;-0.156223837;0.117793061;1.771982039;1.543273255;1.649553824;2.023603029;1.705778979;1.461055253;-0.019215388;1.657627647;1.8365784265;1.583417116;1.676843035;1.8557938145;1.602632504;0.0113609347305487;0.00695645323707162;0.0139984431301221;1;1;1;FALSE
>sp|P63318|KPCG_MOUSE Protein kinase C gamma type OS=Mus musculus GN=Prkcg PE=1 SV=1;28;0.84224109;-0.898394866;1.275535736;1.976232788;1.117407135;2.205909459;2.477705097;1.49493524;-0.028076888;1.625884262;1.661658297;1.9863201685;1.65396115;1.689735185;2.0143970565;0.0725986981690904;0.0678362135194413;0.0367189846207875;1;1;1;FALSE
>sp|P30275|KCRU_MOUSE Creatine kinase U-type, mitochondrial OS=Mus musculus GN=Ckmt1 PE=1 SV=1;19;0.541739345;-0.506055617;1.494884808;1.753437955;2.533799506;1.964974445;1.506348686;1.733915416;0.017841864;1.6241613815;2.2493869755;1.620132051;1.6063195175;2.2315451115;1.602290187;0.0261476536986944;0.00577219302145291;0.0264160111262159;1;1;1;FALSE
>sp|Q9D2P8|MOBP_MOUSE Myelin-associated oligodendrocyte basic protein OS=Mus musculus GN=Mobp PE=1 SV=1;11;0.612161114;-0.561160826;16.75492615;12.36133429;4.156926787;0.626938504;0.331852923;-0.860191407;0.025500144;14.55813022;2.3919326455;-0.264169242;14.532630076;2.3664325015;-0.289669386;3.77204313935512e-05;0.186924465846497;0.863204641933714;1;1;0;FALSE
>sp|Q9JKC6|CEND_MOUSE Cell cycle exit and neuronal differentiation protein 1 OS=Mus musculus GN=Cend1 PE=1 SV=1;7;2.800387713;-3.209540672;11.27860912;11.2406987;2.775297495;1.212335398;-0.963725383;0.826844246;-0.2045764795;11.25965391;1.9938164465;-0.0684405685;11.4642303895;2.198392926;0.136135911;0.000307213750060188;0.25329053559258;0.940795784320559;1;1;0;FALSE
>sp|Q60771|CLD11_MOUSE Claudin-11 OS=Mus musculus GN=Cldn11 PE=1 SV=1;6;0.79711858;-0.792721977;8.383830331;10.15831764;3.37089017;1.519897728;-0.23008068;0.798494386;0.0021983015;9.2710739855;2.445393949;0.284206853;9.268875684;2.4431956475;0.2820085515;2.3704003207638e-05;0.0383483402950628;0.778395012502962;1;1;0;FALSE
>sp|Q9D6P8|CALL3_MOUSE Calmodulin-like protein 3 OS=Mus musculus GN=Calml3 PE=2 SV=1;9;1.93743245;-2.185229936;8.77992864;4.606363549;1.233760773;3.372348973;1.115750946;1.477119368;-0.123898743;6.6931460945;2.303054873;1.296435157;6.8170448375;2.426953616;1.4203339;0.00512530010098809;0.199414432970655;0.434784711602827;1;1;0;FALSE
>tr|Q3UC89|Q3UC89_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Ctsd PE=2 SV=1;3;0.525982524;-0.474988276;6.738909823;6.629152936;2.455758821;0.937106784;1.85323042;0.795297802;0.025497124;6.6840313795;1.6964328025;1.324264111;6.6585342555;1.6709356785;1.298766987;3.34786208337975e-05;0.0549901428388105;0.117391105646694;1;1;0;FALSE
>sp|Q05144|RAC2_MOUSE Ras-related C3 botulinum toxin substrate 2 OS=Mus musculus GN=Rac2 PE=1 SV=1;1;0.916745764;-0.897929843;6.408022048;6.029851409;3.573180494;1.747659801;1.142317539;0.062040986;0.00940796049999998;6.2189367285;2.6604201475;0.6021792625;6.209528768;2.651012187;0.592771302;0.000180430769041494;0.0191235899486109;0.522186934512371;1;1;0;FALSE
>sp|P97814|PPIP1_MOUSE Proline-serine-threonine phosphatase-interacting protein 1 OS=Mus musculus GN=Pstpip1 PE=1 SV=1;1;0.638003158;-0.606008377;5.109796878;5.46375809;3.535708081;1.539014454;1.890113637;-0.853986411;0.0159973905;5.286777484;2.5373612675;0.518063613;5.2707800935;2.521363877;0.5020662225;0.00157333540987823;0.0495422664676628;0.652485136206289;1;1;0;FALSE
>sp|Q66L44|CBARP_MOUSE Voltage-dependent calcium channel beta subunit-associated regulatory protein OS=Mus musculus GN=Cbarp PE=1 SV=4;1;-2.781973866;2.260765447;3.499002849;6.501178988;6.274364863;2.874399208;2.55955693;-1.486448184;-0.2606042095;5.0000909185;4.5743820355;0.536554373;5.260695128;4.834986245;0.7971585825;0.0425531594372656;0.0572307500649764;0.719945625568164;1;1;0;FALSE
>sp|Q8BYH0|DRGX_MOUSE Dorsal root ganglia homeobox protein OS=Mus musculus GN=Drgx PE=1 SV=2;1;1.489011626;-1.585671348;5.370420004;4.919827159;3.361908097;1.866754972;1.943391351;0.827156132;-0.048329861;5.1451235815;2.6143315345;1.3852737415;5.1934534425;2.6626613955;1.4336036025;0.00169628022097198;0.0404745853256149;0.220066662086402;1;1;0;FALSE
>tr|Q52KC0|Q52KC0_MOUSE Putative E3 ubiquitin-protein ligase UBR7 OS=Mus musculus GN=Ubr7 PE=1 SV=1;1;1.318942816;-1.387916132;4.314145421;5.321308116;2.503907241;2.150657896;1.000576521;1.718002814;-0.034486658;4.8177267685;2.3272825685;1.3592896675;4.8522134265;2.3617692265;1.3937763255;0.0010768813761572;0.0366157206590629;0.173137071259119;1;1;0;FALSE
>sp|P62274|RS29_MOUSE 40S ribosomal protein S29 OS=Mus musculus GN=Rps29 PE=3 SV=2;1;0.321853941;-0.246721541;4.792267105;4.396403414;2.601158767;2.068243303;2.444702288;0.787443393;0.0375662;4.5943352595;2.334701035;1.6160728405;4.5567690595;2.297134835;1.5785066405;0.000258064837489836;0.0116889371078529;0.0535360351994825;1;1;0;FALSE
>sp|P04259|K2C6B_HUMAN Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5;2;-2.107735974;1.74011464;3.544036916;4.887384479;1.314250848;1.883611409;-0.34800984;-1.597178704;-0.183810667;4.2157106975;1.5989311285;-0.972594272;4.3995213645;1.7827417955;-0.788783605;0.00863067371815384;0.189353519273006;0.541144354466203;1;1;0;TRUE
>sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2;2;-2.218733513;1.654332743;4.634000923;2.802165572;1.854577741;1.536460614;-1.0458702;-1.658055086;-0.282200385;3.7180832475;1.6955191775;-1.351962643;4.0002836325;1.9777195625;-1.069762258;0.0139962155690873;0.153448750156781;0.415877801313409;1;1;0;TRUE
>sp|Q8C650|SEP10_MOUSE Septin-10 OS=Mus musculus GN=Sept10 PE=1 SV=1;2;1.233957923;-1.24005573;3.948531608;3.641425527;2.353693542;1.034870549;0.922915379;0.074867015;-0.00304890349999998;3.7949785675;1.6942820455;0.498891197;3.798027471;1.697330949;0.5019401005;0.00394207201595093;0.103321598834118;0.597923360757705;1;1;0;FALSE
>sp|Q80UJ9|SETMR_MOUSE Histone-lysine N-methyltransferase SETMAR OS=Mus musculus GN=Setmar PE=2 SV=2;1;-1.138154568;1.088355565;4.26873179;3.188789268;1.912926821;2.609988858;1.326568641;1.516804965;-0.0248995015;3.728760529;2.2614578395;1.421686803;3.7536600305;2.286357341;1.4465863045;0.00253334732250887;0.0274355179043938;0.123290671347496;1;1;0;FALSE
>tr|Q3TYV5|Q3TYV5_MOUSE 2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Mus musculus GN=Cnp PE=2 SV=1;39;0.588316122;-0.733940116;4.111554322;3.079824096;3.01568127;0.792863087;0.095076337;-0.612432166;-0.072811997;3.595689209;1.9042721785;-0.2586779145;3.668501206;1.9770841755;-0.1858659175;0.00430615942488076;0.0616438128862977;0.841022177819449;1;1;0;FALSE
>tr|F8WJ64|F8WJ64_MOUSE Acyl carrier protein (Fragment) OS=Mus musculus GN=Ndufab1 PE=1 SV=1;1;1.042355305;-1.03719193;3.450666558;3.787445783;2.775396532;1.9773033;1.476658974;0.174836028;0.00258168749999999;3.6190561705;2.376349916;0.825747501;3.616474483;2.3737682285;0.8231658135;0.00321152179217562;0.0241475939867402;0.355625161607906;1;1;0;FALSE
>sp|Q8R2I0|FOXE1_MOUSE Forkhead box protein E1 OS=Mus musculus GN=Foxe1 PE=1 SV=2;1;0.66493482;-0.622050684;3.361225799;3.883436154;2.084346923;1.780990506;0.779964958;0.759237491;0.021442068;3.6223309765;1.9326687145;0.7696012245;3.6008889085;1.9112266465;0.7481591565;0.000510817388862012;0.0152874824933976;0.254241767016507;1;1;0;FALSE
>sp|Q9JJ26|MEFV_MOUSE Pyrin OS=Mus musculus GN=Mefv PE=2 SV=2;1;0.459512911;-0.395908981;3.362498835;3.831827598;3.409802738;1.717369114;1.297184972;0.351270927;0.031801965;3.5971632165;2.563585926;0.8242279495;3.5653612515;2.531783961;0.7924259845;0.00183503903120029;0.0108907432970377;0.320652533552322;1;1;0;FALSE
>sp|O08715|AKAP1_MOUSE A-kinase anchor protein 1, mitochondrial OS=Mus musculus GN=Akap1 PE=1 SV=4;1;1.261992688;-1.296437431;2.67112589;4.093376978;1.596722162;2.123891333;2.333588661;-0.222337333;-0.0172223714999999;3.382251434;1.8603067475;1.055625664;3.3994738055;1.877529119;1.0728480355;0.0197138928093944;0.141880629933482;0.376429032799348;1;1;0;FALSE
>sp|Q62425|NDUA4_MOUSE Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus GN=Ndufa4 PE=1 SV=2;7;1.223508885;-1.217341751;3.414454022;3.229948617;2.35740008;1.539102495;0.114322033;0.117642552;0.00308356700000001;3.3222013195;1.9482512875;0.1159822925;3.3191177525;1.9451677205;0.1128987255;0.00491381734793422;0.0505344547332048;0.895448378951121;1;1;0;FALSE
>tr|O08799|O08799_MOUSE Serine proteinase inhibitor mBM17 (Fragment) OS=Mus musculus GN=Spi16 PE=2 SV=1;1;1.724227253;-1.873906811;3.440048705;2.834626858;4.381613376;0.548799648;0.649702739;-0.790251596;-0.0748397789999999;3.1373377815;2.465206512;-0.0702744285;3.2121775605;2.540046291;0.00456535049999995;0.0718678612991527;0.138170632986419;0.997689481412273;1;1;0;FALSE
>sp|Q4VAA2|CDV3_MOUSE Protein CDV3 OS=Mus musculus GN=Cdv3 PE=1 SV=2;3;1.343597157;-1.329207461;2.355356818;3.906495485;1.962039139;1.851172776;-0.311598036;-0.25198176;0.00719484800000003;3.1309261515;1.9066059575;-0.281789898;3.1237313035;1.8994111095;-0.288984746;0.0124617046847896;0.0829371398858648;0.768052350036502;1;1;0;FALSE
>tr|Q545M7|Q545M7_MOUSE Parvalbumin alpha OS=Mus musculus GN=Pvalb PE=1 SV=1;13;0.524270656;-0.542353419;4.490084983;1.667849834;4.16575195;0.660451567;0.997406698;1.044256468;-0.0090413815;3.0789674085;2.4131017585;1.020831583;3.08800879;2.42214314;1.0298729645;0.0495499954163061;0.105684218138904;0.456642613425148;1;1;0;TRUE
>sp|P40142|TKT_MOUSE Transketolase OS=Mus musculus GN=Tkt PE=1 SV=1;33.5;1.241314652;-1.340472782;3.066475038;2.915406394;2.797236644;1.914837608;0.942122054;1.184766767;-0.049579065;2.990940716;2.356037126;1.0634444105;3.040519781;2.405616191;1.1130234755;0.00939312905538931;0.0265538942778973;0.238038286413512;1;1;0;FALSE
>sp|Q96DY5|RN112_MOUSE RING finger protein 112 OS=Mus musculus GN=Rnf112 PE=2 SV=1;1;-0.120083418;0.182291048;2.288962831;3.81632871;4.008039236;1.482640343;1.328881254;-0.105638453;0.031103815;3.0526457705;2.7453397895;0.6116214005;3.0215419555;2.7142359745;0.5805175855;0.0179700131346395;0.028152906019819;0.575593314641091;1;1;0;FALSE
>tr|G5E884|G5E884_MOUSE Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1;1;2.073218986;-2.375562442;2.693927577;2.99955337;2.496088051;1.967976055;1.148263385;1.693569547;-0.151171728;2.8467404735;2.232032053;1.420916466;2.9979122015;2.383203781;1.572088194;0.0513706362968293;0.104796592003374;0.259510731339062;1;1;0;FALSE
>tr|Q6ZQ54|Q6ZQ54_MOUSE MKIAA0756 protein (Fragment) OS=Mus musculus GN=Nfasc PE=2 SV=1;4;1.169550177;-1.206765446;2.584292368;3.152680644;1.834870591;1.539207625;-0.295335594;0.047553585;-0.0186076344999999;2.868486506;1.687039108;-0.1238910045;2.8870941405;1.7056467425;-0.10528337;0.00871730424362038;0.0718713507349822;0.899975990908705;1;1;0;FALSE
>sp|Q9CZU6|CISY_MOUSE Citrate synthase, mitochondrial OS=Mus musculus GN=Cs PE=1 SV=1;14;1.13950915;-1.205827866;2.447075843;3.082573042;3.027615442;2.090807475;0.518997747;1.11692393;-0.0331593579999999;2.7648244425;2.5592114585;0.8179608385;2.7979838005;2.5923708165;0.8511201965;0.0127429420224728;0.0179439949920027;0.348754465842328;1;1;0;FALSE
>sp|Q61781|K1C14_MOUSE Keratin, type I cytoskeletal 14 OS=Mus musculus GN=Krt14 PE=1 SV=2;5;-1.674109455;1.36144205;3.023138517;2.096621627;3.118615431;4.090168226;-1.541595078;-1.935500118;-0.1563337025;2.559880072;3.6043918285;-1.738547598;2.7162137745;3.760725531;-1.5822138955;0.0293286155596322;0.00678170373714818;0.156893792359328;1;1;0;TRUE
>sp|Q9CZT6|CMS1_MOUSE Protein CMSS1 OS=Mus musculus GN=Cmss1 PE=2 SV=1;2;1.765926627;-1.855565936;2.40730334;2.875402067;2.522973465;3.92104192;-0.127679629;0.063192667;-0.0448196545;2.6413527035;3.2220076925;-0.032243481;2.686172358;3.266827347;0.0125761735;0.0491756771159653;0.023185335476483;0.99147084669965;1;1;0;FALSE
>tr|Q3TIQ3|Q3TIQ3_MOUSE Putative uncharacterized protein (Fragment) OS=Mus musculus GN=Pitpna PE=2 SV=1;1;1.465143645;-1.548947265;2.40431724;2.696466399;2.025489732;1.110867136;-0.342625092;0.784818807;-0.04190181;2.5503918195;1.568178434;0.2210968575;2.5922936295;1.610080244;0.2629986675;0.0356778978956801;0.151976237882915;0.800836067176949;1;1;0;FALSE
